Álbuns,Músicas,Duração,Execuções,Prêmios
Skillet,I Can,4:16,484651,
Skillet,Gasoline,4:02,10000000,
Skillet,Saturn,5:09,118551,
Skillet,My beatiful Robe,3:37,1648,
Skillet,Promise Blender,3:55,215489,
Skillet,Paint,3:19,159487,
Skillet,Safe With You,3:48,123456,
Skillet,You Thought,3:41,741852,
Skillet,Bourdaries,4:06,1456,
Skillet,Splinter,2:41,36987,
Hey You I Love Your Soul,Hey You I Love Your Soul,2:57,15962,
Hey You I Love Your Soul,Deeper,3:47,876329,
Hey You I Love Your Soul,Locked In A Cage,3:51,1546230,
Hey You I Love Your Soul,Your Love (Keeps Me Alive),3:56,159847,
Hey You I Love Your Soul,More Faithful,3:42,91838,
Hey You I Love Your Soul,Pour,4:15,4741,
Hey You I Love Your Soul,Suspended In You,3:07,6487,
Hey You I Love Your Soul,Take,4:11,416,
Hey You I Love Your Soul,Coming Down,5:06,8641,
Hey You I Love Your Soul,Whirlwind,3:57,589416,
Hey You I Love Your Soul,Dive Over In,3:41,755289,
Hey You I Love Your Soul,Scarecrow,4:17,230695,
Hey You I Love Your Soul,Saturn,4:27,8549,
Hey You I Love Your Soul,Interview,5:37,47885,
